Time;Electricity in MW
2021-01-01 00:00;0,472841
2021-01-01 01:00;0,500992
2021-01-01 02:00;0,53246
2021-01-01 03:00;0,461428
2021-01-01 04:00;0,44493
2021-01-01 05:00;0,538047
2021-01-01 06:00;0,775201
2021-01-01 07:00;1,04892
2021-01-01 08:00;1,29844
2021-01-01 09:00;1,51076
2021-01-01 10:00;1,39093
2021-01-01 11:00;1,31901
2021-01-01 12:00;1,28148
2021-01-01 13:00;1,41491
2021-01-01 14:00;1,43525
2021-01-01 15:00;1,20741
2021-01-01 16:00;0,967053
2021-01-01 17:00;0,780229
2021-01-01 18:00;0,68477
2021-01-01 19:00;0,672937
2021-01-01 20:00;0,712665
2021-01-01 21:00;0,806062
2021-01-01 22:00;0,885583
2021-01-01 23:00;0,898569
2021-01-02 00:00;0,818979
2021-01-02 01:00;0,703397
2021-01-02 02:00;0,650252
2021-01-02 03:00;0,816543
2021-01-02 04:00;1,09092
2021-01-02 05:00;1,33056
2021-01-02 06:00;1,31895
2021-01-02 07:00;1,20949
2021-01-02 08:00;1,26321
2021-01-02 09:00;1,32956
2021-01-02 10:00;1,37745
2021-01-02 11:00;1,13872
2021-01-02 12:00;0,903819
2021-01-02 13:00;0,883626
2021-01-02 14:00;0,766841
2021-01-02 15:00;0,624407
2021-01-02 16:00;0,486285
2021-01-02 17:00;0,398583
2021-01-02 18:00;0,352829
2021-01-02 19:00;0,369958
2021-01-02 20:00;0,434031
2021-01-02 21:00;0,524686
2021-01-02 22:00;0,675319
2021-01-02 23:00;1,00096
2021-01-03 00:00;1,38075
2021-01-03 01:00;1,17447
2021-01-03 02:00;0,989674
2021-01-03 03:00;0,999289
2021-01-03 04:00;0,867985
2021-01-03 05:00;0,828317
2021-01-03 06:00;0,831575
2021-01-03 07:00;0,852751
2021-01-03 08:00;0,930303
2021-01-03 09:00;0,917543
2021-01-03 10:00;0,841529
2021-01-03 11:00;0,762756
2021-01-03 12:00;0,749472
2021-01-03 13:00;0,945034
2021-01-03 14:00;1,19907
2021-01-03 15:00;1,26932
2021-01-03 16:00;1,24996
2021-01-03 17:00;1,27676
2021-01-03 18:00;1,33162
2021-01-03 19:00;1,34671
2021-01-03 20:00;1,3296
2021-01-03 21:00;1,2766
2021-01-03 22:00;1,26861
2021-01-03 23:00;1,30537
2021-01-04 00:00;1,29562
2021-01-04 01:00;1,15327
2021-01-04 02:00;1,13138
2021-01-04 03:00;1,18879
2021-01-04 04:00;1,199
2021-01-04 05:00;1,18896
2021-01-04 06:00;1,1832
2021-01-04 07:00;1,16504
2021-01-04 08:00;1,14319
2021-01-04 09:00;1,07577
2021-01-04 10:00;0,955061
2021-01-04 11:00;0,893437
2021-01-04 12:00;0,924786
2021-01-04 13:00;1,10103
2021-01-04 14:00;1,29512
2021-01-04 15:00;1,25796
2021-01-04 16:00;1,18889
2021-01-04 17:00;1,12032
2021-01-04 18:00;0,965912
2021-01-04 19:00;0,771782
2021-01-04 20:00;0,68622
2021-01-04 21:00;0,663424
2021-01-04 22:00;0,693811
2021-01-04 23:00;0,7641
2021-01-05 00:00;0,83319
2021-01-05 01:00;0,801063
2021-01-05 02:00;0,704376
2021-01-05 03:00;0,654478
2021-01-05 04:00;0,639234
2021-01-05 05:00;0,563461
2021-01-05 06:00;0,514626
2021-01-05 07:00;0,53252
2021-01-05 08:00;0,631535
2021-01-05 09:00;0,728257
2021-01-05 10:00;0,653736
2021-01-05 11:00;0,422728
2021-01-05 12:00;0,429795
2021-01-05 13:00;0,585889
2021-01-05 14:00;0,780288
2021-01-05 15:00;0,840545
2021-01-05 16:00;0,86367
2021-01-05 17:00;0,892796
2021-01-05 18:00;0,938836
2021-01-05 19:00;0,930361
2021-01-05 20:00;0,87303
2021-01-05 21:00;0,827176
2021-01-05 22:00;0,74489
2021-01-05 23:00;0,684178
2021-01-06 00:00;0,640529
2021-01-06 01:00;0,520714
2021-01-06 02:00;0,444965
2021-01-06 03:00;0,40608
2021-01-06 04:00;0,406159
2021-01-06 05:00;0,442709
2021-01-06 06:00;0,421137
2021-01-06 07:00;0,366276
2021-01-06 08:00;0,301971
2021-01-06 09:00;0,220283
2021-01-06 10:00;0,156997
2021-01-06 11:00;0,137198
2021-01-06 12:00;0,138371
2021-01-06 13:00;0,157617
2021-01-06 14:00;0,185467
2021-01-06 15:00;0,221516
2021-01-06 16:00;0,245876
2021-01-06 17:00;0,233008
2021-01-06 18:00;0,205416
2021-01-06 19:00;0,191658
2021-01-06 20:00;0,198506
2021-01-06 21:00;0,212785
2021-01-06 22:00;0,255429
2021-01-06 23:00;0,307548
2021-01-07 00:00;0,331801
2021-01-07 01:00;0,33439
2021-01-07 02:00;0,323849
2021-01-07 03:00;0,293952
2021-01-07 04:00;0,289335
2021-01-07 05:00;0,335857
2021-01-07 06:00;0,417976
2021-01-07 07:00;0,495761
2021-01-07 08:00;0,567106
2021-01-07 09:00;0,515418
2021-01-07 10:00;0,381509
2021-01-07 11:00;0,268915
2021-01-07 12:00;0,215019
2021-01-07 13:00;0,233171
2021-01-07 14:00;0,302649
2021-01-07 15:00;0,366346
2021-01-07 16:00;0,410039
2021-01-07 17:00;0,412521
2021-01-07 18:00;0,371975
2021-01-07 19:00;0,330458
2021-01-07 20:00;0,280903
2021-01-07 21:00;0,282922
2021-01-07 22:00;0,37002
2021-01-07 23:00;0,468569
2021-01-08 00:00;0,548258
